unique_squirrel_id,kuks,quaas,moans
12D-PM-1014-02,False,False,False
26A-PM-1006-05,False,False,False
32C-PM-1013-03,False,False,False
35E-PM-1006-02,False,False,False
14D-PM-1019-12,False,False,False
32B-AM-1017-04,False,False,False
38C-AM-1019-01,False,False,False
15G-PM-1019-11,False,False,False
11F-PM-1006-02,False,False,False
10G-PM-1017-02,False,False,False
34D-PM-1007-02,False,False,False
37G-AM-1014-05,False,False,False
30B-AM-1007-02,False,False,False
7A-AM-1006-02,False,False,False
20D-AM-1007-01,False,False,False
32I-AM-1013-02,False,False,False
8C-PM-1013-04,False,False,False
13E-PM-1008-10,False,False,False
5E-AM-1008-09,False,False,False
39B-PM-1014-06,False,False,False
32D-PM-1006-07,False,False,False
21F-AM-1018-01,False,False,False
33D-PM-1006-03,False,False,False
8E-PM-1008-01,False,False,False
33E-PM-1012-01,False,False,False
22C-AM-1013-02,True,False,False
3B-PM-1007-01,False,False,False
40E-AM-1014-01,False,False,False
31G-PM-1007-01,False,False,False
33E-AM-1014-03,False,False,False
8E-PM-1008-08,False,False,False
14D-PM-1019-11,False,False,False
2C-AM-1010-03,False,False,False
1B-AM-1012-12,False,False,False
38C-PM-1014-06,False,False,False
4I-PM-1007-03,False,False,False
40C-PM-1006-03,False,False,False
13H-PM-1010-03,False,False,False
10H-AM-1014-05,False,False,False
12G-PM-1007-06,False,False,False
9B-PM-1013-10,False,False,False
36C-PM-1013-06,False,False,False
22D-PM-1012-01,True,False,False
11I-PM-1012-03,False,False,False
38A-PM-1013-01,False,False,False
14F-PM-1012-01,False,False,False
1D-AM-1006-09,False,False,False
8B-AM-1007-09,False,False,False
3B-PM-1007-07,False,False,False
22G-PM-1018-03,False,False,False
40G-PM-1013-02,False,False,False
27I-PM-1020-01,False,False,False
22C-PM-1006-09,False,True,False
1C-PM-1013-05,False,False,False
8H-PM-1014-03,False,False,False
13C-AM-1010-03,False,False,False
41B-PM-1014-05,True,False,False
7I-PM-1013-05,False,False,False
31A-AM-1010-01,False,False,False
35E-PM-1006-03,False,False,False
1D-AM-1006-02,False,False,False
14H-PM-1012-01,False,False,False
14H-AM-1007-04,False,False,False
8I-PM-1013-01,False,False,False
9B-PM-1013-02,False,False,False
8B-PM-1012-08,False,False,False
9G-AM-1007-02,False,False,False
13B-PM-1008-01,False,False,False
31F-PM-1007-04,False,False,False
21G-AM-1014-02,False,False,False
16D-PM-1010-01,False,False,False
10G-PM-1017-08,False,False,False
10B-PM-1014-01,False,False,False
9B-PM-1013-03,False,False,False
34H-AM-1007-01,True,True,False
13H-PM-1010-07,False,False,False
7H-AM-1006-11,False,False,False
8E-PM-1008-05,False,False,False
4A-PM-1007-03,False,False,False
42F-PM-1017-02,False,False,False
33E-AM-1014-05,False,False,False
22F-AM-1007-05,False,False,False
5F-AM-1007-04,False,False,False
41I-AM-1018-02,False,False,False
13D-PM-1018-08,False,False,False
18I-PM-1007-09,False,False,False
9F-PM-1014-04,False,False,False
12H-PM-1007-04,False,False,False
8F-PM-1012-05,False,False,False
13E-PM-1008-06,False,False,False
10G-AM-1006-10,False,True,False
21F-AM-1018-02,False,False,False
9C-AM-1006-02,False,False,False
36B-AM-1013-03,False,False,False
31E-PM-1006-02,False,True,False
9C-AM-1006-03,False,False,False
21B-AM-1019-04,False,False,False
33I-PM-1006-05,False,False,False
19F-PM-1017-01,False,False,False
6F-PM-1008-06,False,False,False
29D-AM-1014-04,False,False,False
42D-PM-1013-03,False,False,False
19G-PM-1017-03,False,False,False
13I-PM-1008-01,False,False,False
32E-PM-1017-10,False,False,False
27A-AM-1008-02,False,False,False
24A-AM-1014-01,False,False,False
14E-AM-1008-20,False,False,False
37D-AM-1018-01,False,False,False
1D-PM-1007-06,False,False,False
13D-PM-1018-02,False,False,False
36D-AM-1007-01,False,False,False
10G-AM-1006-05,True,False,False
7H-AM-1006-15,False,False,False
42B-AM-1014-02,False,False,False
39G-PM-1013-05,False,False,False
12F-PM-1007-05,False,False,False
8I-AM-1006-08,True,True,False
12F-AM-1020-06,False,False,False
42D-PM-1013-01,False,False,False
38D-PM-1006-01,False,False,False
30B-AM-1007-03,False,False,False
11E-AM-1013-04,False,False,False
16A-PM-1019-07,False,False,False
4B-AM-1010-03,False,False,False
14H-AM-1007-02,False,False,False
11I-AM-1012-02,False,False,False
7H-AM-1006-04,False,False,False
23C-PM-1014-02,False,False,False
36A-AM-1018-01,False,False,False
2D-AM-1007-06,False,False,False
6A-PM-1012-04,False,False,False
22A-AM-1008-03,False,False,False
8H-PM-1014-06,False,False,False
3D-AM-1006-04,False,False,False
40A-PM-1014-06,False,False,False
1B-PM-1019-06,False,False,False
41E-AM-1007-06,False,False,False
36B-AM-1013-04,False,False,False
18F-AM-1014-01,False,False,False
16H-PM-1014-04,False,False,False
40C-PM-1006-05,False,False,False
13D-AM-1014-06,False,False,False
18D-PM-1017-01,False,False,False
33D-PM-1006-02,False,False,False
37H-PM-1006-02,True,False,False
12H-PM-1007-02,False,False,False
21F-AM-1018-05,False,False,False
9D-AM-1008-01,False,False,False
1G-AM-1006-02,False,False,False
12E-PM-1018-04,False,False,False
18I-AM-1017-02,False,False,False
15I-AM-1008-04,False,False,False
35D-AM-1019-01,True,False,False
32B-AM-1017-02,False,False,False
3D-PM-1010-12,False,True,False
35C-PM-1013-02,False,False,False
37B-PM-1013-05,False,False,False
41D-PM-1014-03,False,False,False
16E-AM-1014-09,False,False,False
18G-PM-1013-02,False,False,False
8G-PM-1017-01,False,False,False
4C-PM-1010-06,False,False,False
1C-PM-1013-06,False,False,False
14E-AM-1008-19,False,False,False
40G-AM-1007-02,False,False,False
12H-PM-1007-08,False,False,False
22G-AM-1018-05,False,False,False
23E-PM-1006-01,False,False,False
22G-AM-1018-02,True,False,False
16D-PM-1010-03,False,False,False
14D-AM-1014-16,False,False,False
11H-AM-1010-05,False,False,False
19F-PM-1017-04,False,False,False
30A-AM-1010-01,False,False,False
2E-AM-1010-02,False,False,False
40D-PM-1013-05,False,False,False
11H-AM-1010-04,False,False,False
41D-AM-1014-05,False,False,False
6D-PM-1020-04,False,False,False
9C-PM-1006-01,False,False,False
35A-AM-1014-04,False,False,False
15C-PM-1017-03,False,False,False
14E-AM-1008-06,False,False,False
16B-AM-1014-01,False,False,False
11A-PM-1013-01,False,False,False
33I-PM-1006-09,False,False,False
38E-AM-1010-07,False,False,False
39B-PM-1014-03,False,False,False
36G-PM-1012-01,False,False,False
14C-PM-1006-02,False,False,False
21F-PM-1018-03,False,False,False
21H-AM-1017-02,False,False,False
